dealer_id,farmer_id,district,season,date,fertilizer_qty_kg,land_area_acres,aadhaar_failures
D001,F001,District_A,Kharif_2024,2024-06-10,50,2.0,0
D001,F001,District_A,Kharif_2024,2024-07-05,40,2.0,0
D001,F002,District_A,Kharif_2024,2024-06-15,60,3.0,1
D001,F002,District_A,Kharif_2024,2024-08-01,30,3.0,0
D001,F003,District_A,Kharif_2024,2024-06-20,45,1.5,0
D001,F003,District_A,Kharif_2024,2024-09-10,35,1.5,0
D002,F004,District_A,Kharif_2024,2024-06-12,40,2.5,0
D002,F004,District_A,Kharif_2024,2024-07-18,30,2.5,0
D002,F005,District_A,Kharif_2024,2024-06-25,35,2.0,0
D002,F005,District_A,Kharif_2024,2024-08-20,25,2.0,0
D002,F006,District_A,Kharif_2024,2024-06-28,30,1.8,0
D002,F006,District_A,Kharif_2024,2024-09-05,20,1.8,0
